TotInt_126C_MAN1353,TotInt_127N_MAN1353,TotInt_127C_MAN1353,TotInt_128N_MAN1353,TotInt_128C_MAN1353,TotInt_129N_MAN1353,TotInt_129C_MAN1353,TotInt_130N_MAN1353,TotInt_130C_MAN1353,TotInt_131N_MAN1353
150228.939,119716.917,6426.127136,5180.048492,85725.99658,65392.45801,2961.270447,746.113342,31725.625,16393.46277
56807.8125,46145.19531,1651.397339,1975.400146,32340.96191,25510.05322,401.896179,50,12254.23535,3830.645081
43250.69824,38808.25635,1471.226074,415.808777,29975.68701,19741.10437,530.044861,50,6742.049621,2254.092041
3724.009521,3429.895264,50,50,2281.530518,1952.823975,50,50,618.204346,50
287470.0395,241843.98,12788.80975,5876.666076,178294.4901,121342.404,4829.116576,2570.092591,56390.34436,29977.29016
24075.8916,19121.34033,50,50,13281.08057,8981.679199,408.915009,50,3295.279358,1767.454772
14754.14014,11757.73779,550.031128,50,9894.921387,5038.998535,50,50,2159.916748,50
151824.1462,135909.1846,7291.646973,6499.57318,97331.33337,80658.99744,3704.241974,632.586121,30209.5896,11527.10123
204024.2712,172619.4653,11778.0451,8248.043336,130847.3752,94243.72809,2475.652039,513.204895,37393.30133,20343.79633
0,0,0,0,0,0,0,0,0,0
373281.6418,308678.5095,12335.61832,10179.53842,232196.2991,148576.2893,7561.788087,2211.868591,68716.86829,41209.76782
17107.51611,13196.27832,50,544.843079,10975.75659,8131.596192,50,675.221191,4025.42627,740.894592
48190.04151,37851.83838,50,50,29447.03296,16323.05048,50,50,4097.138856,2235.927185
108746.3955,77728.25977,8357.113708,7006.875336,62121.7085,44371.34619,4407.816101,1995.690552,17877.099,12017.54095
5710850.708,4375397.526,298278.6375,268384.8776,3434659.963,2350549.851,119830.0598,93210.01297,1161249.312,644169.7871
148947.9639,124992.5005,11731.35092,8820.64154,93252.82275,62482.14166,3821.497314,2305.050293,29254.69049,18359.14755
418422.0278,334094.4858,22682.21799,17777.67203,255788.3671,176226.6006,6164.199585,5738.348664,86180.90802,42502.74954
68989.33887,61171.05273,5139.954589,3497.084777,51034.50732,36236.26709,1641.021821,843.553528,14773.83484,7151.589417
2591322.768,2037098.888,126521.9215,120519.3397,1581206.764,1084099.475,61358.95792,40217.93378,501562.1403,277278.9499
5505508.166,4309622.618,274110.1766,239715.9142,3311429.971,2328076.427,128165.6757,71128.29993,1086102.491,598553.5157
16009.25195,12102.86304,1413.392151,433.4552,9399.631348,5981.349853,50,50,2766.233642,451.566864
13677.70947,7572.130127,50,50,5937.050537,3908.418091,50,50,2889.360534,566.981995
337590.1926,258353.3555,18079.5278,13672.5846,202695.8795,136130.7966,6630.229522,2314.176758,60767.28363,33470.32739
48220.18652,39416.48877,2166.493714,2433.277954,33017.81006,22815.18897,50,50,8503.371826,5292.262451
227871.9358,190373.0947,10085.30365,7718.336181,132642.3918,93211.75879,1557.575379,438.541351,47346.63321,25902.35578
5424661.059,4405895.682,267991.2122,259622.0747,3394116.764,2437972.473,109272.4934,87076.97842,1074195.196,604465.9717
946575.7656,769722.3867,47556.29053,41172.32404,595689.568,419339.4175,25515.62381,12737.13952,181329.8897,109510.5174
3730.643555,11463.54297,50,750.315369,6126.943848,7810.963379,50,50,50,50
204981.6353,171151.6664,12037.57867,9267.076355,137705.329,91624.75879,3476.316619,2181.923279,38610.20728,17303.19916
122300.7105,101768.355,4414.952393,3058.027709,68259.56683,49294.94891,2761.657501,627.587463,21198.41309,13271.52722
5522894.132,4665249.931,255933.6857,262661.2505,3519141.271,2408248.529,69059.00641,88374.05002,1130620.595,648858.7202
33624.45899,34929.3418,50,1151.705658,26082.61231,18351.74939,439.062988,50,4538.458191,2965.825348
917401.8479,726558.4329,41191.76428,36845.61649,549096.6963,381303.2739,21902.77063,13349.2782,177707.6063,103012.7778
2588.287354,3492.944092,50,50,2338.837158,830.477722,50,50,595.048828,50
14714.08643,14935.56592,50,526.06311,10571.93262,8924.558594,50,50,3342.624267,1343.913666
232447.2983,196099.4734,12473.92798,12850.6048,143561.2429,106091.6353,4729.471924,3932.677399,46750.22125,20786.01294
189273.6545,155668.131,10032.15219,7210.850372,121940.5664,82814.19849,4382.549378,3426.913666,36157.78513,20123.98755
2404070.106,1919859.42,128855.537,114163.9851,1477799.75,1046718.777,59745.96533,39234.35171,461248.9442,257490.9947
726715.6846,563667.4731,36720.46069,27064.78339,442068.7983,289470.3726,10136.12683,10281.8241,146023.3622,78809.0238
728191.7573,581140.592,36369.99703,34793.09442,439810.2847,302036.265,17759.99545,10369.01911,150273.1508,77908.36182
5275546.954,4203557.944,270306.3226,249326.1826,3301415.206,2290252.971,121756.6159,83805.35919,1070091.165,589748.3559
354413.5605,249287.7422,11034.18427,13689.92853,203142.0212,128668.3936,4921.644439,4608.322022,73903.49243,35475.07806
9570.530273,7982.885254,50,544.766846,5971.078613,3187.745117,50,50,687.290466,781.590942
0,0,0,0,0,0,0,0,0,0
9607667.86,6640921.75,443586.8576,392715.3774,5330708.504,3375352.506,171358.3936,132754.0059,2081885.673,1140680.141
180259.9912,150990.6921,12204.11743,8449.525727,116813.1038,78346.73553,4268.622039,873.182495,32315.18066,18047.87506
0,0,0,0,0,0,0,0,0,0
3163.240234,2622.59375,50,50,852.390991,736.623474,50,50,554.216797,50
0,0,0,0,0,0,0,0,0,0
782756.1414,641895.113,30969.40625,29985.4563,483070.496,326434.0438,13771.07117,8726.699707,155828.9409,87020.87543
464308.0664,342662.043,29614.10803,16918.3396,259652.3623,172912.4885,5150.561646,6708.94632,99226.53296,52044.6012
32334.65918,24411.51758,394.925934,50,19425.7334,12490.01428,50,453.231262,6869.689819,1318.962769
9217.797852,6824.723633,50,50,5180.857666,3259.082153,453.131226,50,1949.928589,424.825378
2657353.044,2082944.614,93594.77704,126198.6266,1637946.258,1130594.51,80795.88016,49263.12942,541957.5063,302321.7371
172964.8965,146391.7925,5460.717407,5642.573364,105804.9966,74937.42114,2016.694886,1001.191009,35367.24756,16515.03101
142519.6456,117161.613,2322.962616,4662.670288,90648.59003,64764.22681,2510.519441,820.29071,28245.73975,14515.97211
1685578.31,1311463.839,67989.66104,70468.41937,1006946.308,687288.7157,38963.43667,21503.71582,330762.6061,187336.1095
158856.0703,123450.2637,2172.981445,5370.615234,93877.45508,68226.69336,2605.865722,1568.713013,31125.78076,18273.11035
73821.02637,64719.07813,8578.036316,3843.920228,47024.00781,32571.13281,405.174377,412.575867,16100.56592,9935.646119
15350.18408,13895.39697,540.057007,496.282379,8908.9458,7272.946045,50,50,1603.932006,569.123108
1602530.417,1271305.739,82804.20068,79951.95954,989169.3186,688041.4106,39194.47171,28134.5238,307478.5218,170326.0581
1841541.539,1515157.833,95668.97165,90699.84845,1150453.333,848398.0631,53130.51227,29602.07272,360954.6146,193049.3373
323827.8794,270589.4995,8995.138122,11080.40357,206628.137,149715.6426,5060.864869,2893.277283,68922.41004,36160.69635
5094.671875,4039.596436,50,50,3500.942383,1977.653564,50,50,582.505005,542.394104
2541150.403,2031664.327,117807.576,123082.2911,1571676.939,1108640.692,37242.51563,38497.66217,502879.5142,280546.1757
40252.36328,31594.78174,3389.076141,1634.406372,25943.63818,19235.4375,50,50,8498.346924,4226.256287
10328.39648,9048.146484,50,50,5422.293457,3242.290039,50,50,1151.788574,564.054749
67550.55078,56140.52832,5575.902282,5060.191162,38925.4707,26976.82666,2181.5,1234.811157,14117.38635,7147.071533
118047.4038,99910.77735,5788.114623,6064.759736,74889.50757,53523.94556,555.969543,606.747314,24361.63654,11244.711
48211.57666,43073.05225,3734.329346,2511.345947,32270.52295,22486.70837,1064.765869,1154.367065,9729.529602,5192.566132
428930.5632,325223.2715,38901.03223,29453.1991,245784.012,164859.0232,20150.49744,10313.28137,91383.97217,48410.63355
2403689.725,1938521.795,99440.76866,104774.9197,1497941.761,1022006.65,52391.93185,37947.61084,492547.3112,260548.3787
1441089.777,1093782.241,97200.48871,66912.27792,861672.0979,580132.4456,32624.96005,26641.50116,293289.8486,154106.6388
147385.8652,112885.8462,5150.453613,5526.875611,89731.27051,61111.91943,2079.628021,1533.566529,25664.41998,13728.54877
109297.6143,85933.89941,5926.756989,3513.102203,68016.95166,48547.8374,1520.212952,610.69751,19542.90515,9626.082368
54030.33691,37852.67822,2500.161072,1848.756531,30607.00464,19372.64893,50,50,9554.300293,3961.496917
25177.18652,19593.90381,1559.445129,464.942139,15193.07983,8506.625488,50,470.288757,4596.966125,2711.918945
68596.93457,54339.38794,5348.34082,2287.514404,40352.82397,25860.50659,750.031128,828.4599,11737.9891,5814.302063
114382.1233,88187.1936,3149.081055,1555.18103,63560.74536,44244.76489,997.13623,741.614441,21436.19531,10112.35156
7301.37207,7910.725586,50,50,5381.572754,4004.713135,534.130676,50,1115.16687,511.462616
23945.6958,22228.5415,844.176575,1203.057922,16728.04541,9979.014526,456.830261,619.604492,3120.937133,2358.761963
800926.7725,605054.4683,42727.32251,31515.7124,480755.3857,344442.7103,15753.97708,7297.883668,152216.4891,93921.55054
60227.75781,54921.26172,1539.448791,521.860962,40001.25,26715.84595,432.224915,50,12822.2865,6578.145508
13804.11084,10147.22119,409.63382,50,8019.445435,4050.793336,50,50,1918.745118,660.020996
227320.0312,202264.8728,17075.15042,13349.99381,152815.2751,109894.1488,9029.442383,4722.456543,44935.81445,24261.88397
569249.0439,452052.1577,20317.03833,27515.92447,350312.4468,244482.5005,14588.70184,8440.533325,122430.2988,65421.86133
125661.5908,100510.7422,1372.790954,1393.341247,73014.0166,52120.32666,760.414337,50,23469.66797,12171.3407
241649.6768,200519.0654,13671.87585,9145.52417,146933.0737,112696.3713,6202.234436,635.442017,48056.29102,29365.55005
24364.96826,24383.41504,672.78241,1127.36261,16538.56128,11744.16187,50,715.734375,5636.572998,1780.925354
87741.14209,72670.72852,2698.914214,1605.876953,53124.21021,32848.4429,758.727783,50,15581.71509,9006.73352
69962.22363,56631.16602,3023.454804,50,45678.44922,26975.86133,1436.345032,50,13552.47363,7977.602783
154388.998,115272.6895,6663.635376,4067.540771,88373.27344,60212.31641,3330.836731,50,29171.47363,14685.28955
1866040.164,1379059.07,103159.7429,74399.17883,1077346.263,717037.4899,47230.71124,23478.38471,384220.3854,211620.4311
431467.1692,327582.6965,7352.768067,15608.92346,256036.0273,167305.4421,10366.19385,4184.219482,87331.63391,47779.11292
56504.22022,48436.7168,2992.645752,1837.205261,35534.53711,23156.48682,851.455444,553.636414,9054.495667,4950.379638
162706.9053,137760.3311,11765.32904,9580.986573,100066.2188,75707.63452,5147.642762,2191.358277,32707.50293,20421.36603
