TotInt_126C_MAN1353,TotInt_127N_MAN1353,TotInt_127C_MAN1353,TotInt_128N_MAN1353,TotInt_128C_MAN1353,TotInt_129N_MAN1353,TotInt_129C_MAN1353,TotInt_130N_MAN1353,TotInt_130C_MAN1353,TotInt_131N_MAN1353
3363.557617,3142.442627,0,0,2694.346924,2194.796143,0,0,0,0
9251.454102,7785.535156,708.062561,848.146545,6119.708984,4285.01416,0,0,2745.816406,787.983887
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
16296.00879,11079.91406,943.443481,0,9524.024414,4248.198242,463.661499,0,3010.3125,920.909973
3299.069824,2714.602051,0,0,2192.522705,469.396606,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
34331.30078,29211.20508,889.568176,588.601501,23590.64453,16337.0625,0,0,5757.71875,4546.675781
0,0,0,0,0,0,0,0,0,0
113632.3359,88670.11719,2967.148926,3460.320068,66941.29688,44057.85156,1573.036621,887.662231,34993.86328,15045.14844
135865.9844,102920.8125,0,3291.364502,88014.10938,54565.30469,1029.640869,0,26690.11914,16477.61133
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
511.517365,2568.306396,0,0,924.449463,3292.756104,0,0,0,0
0,0,0,0,0,0,0,0,0,0
14173.66992,9731.245117,0,458.190247,6875.841309,4956.330078,0,0,1270.27417,575.540039
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
908.055115,3230.169189,0,0,1236.658447,1270.095215,0,0,0,1159.226196
0,0,0,0,0,0,0,0,0,0
4049.801758,2745.219727,0,0,3095.289062,3016.752441,0,0,580.43219,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
20844.21289,15869.69922,1120.806274,597.603271,11826.87793,9451.493164,467.570374,0,3039.794434,2258.894043
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
