Accession,TotInt_126C_Ecoli_12prot_MS2,TotInt_127N_Ecoli_12prot_MS2,TotInt_127C_Ecoli_12prot_MS2,TotInt_128N_Ecoli_12prot_MS2,TotInt_128C_Ecoli_12prot_MS2,TotInt_129N_Ecoli_12prot_MS2,TotInt_129C_Ecoli_12prot_MS2,TotInt_130N_Ecoli_12prot_MS2,TotInt_130C_Ecoli_12prot_MS2,TotInt_131N_Ecoli_12prot_MS2
P06986,45203,54209,41950,54327,64215,43407,58376,56234,51046,42912
P06987,84417,86910,88991,98336,104500,92616,99135,101300,90354,91465
P06988,44042,56766,40863,52941,67976,46378,59622,57955,53811,45932
P06989,10746,13081,10245,11415,15462,12139,13201,12410,13098,10699
P06992,45952,43868,44511,52460,51994,47865,53714,52344,48209,50276
P06993,125650,121120,133430,138160,142060,121810,146010,142450,129470,129520
P06996,69524,85257,63467,79353,100780,71477,88252,85131,83928,69217
P06999,44515,56063,44847,55281,64706,45289,59384,57417,53295,46652
P07000,3632.9,4181.6,3474.1,4481.6,4268.4,4420.2,5278.2,4485.5,4127.2,4344.4
P07001,42909,38017,39894,47189,49265,45406,49262,47062,44875,40315
P07003,147010,142570,136220,164030,167520,140520,167220,165190,140070,142730
P07012,119190,139090,125340,141750,157140,129120,139050,142980,132600,125420
P07014,155270,177770,155050,190220,208170,166170,197040,190640,174050,173700
P07017,11169,10949,10733,12085,12997,11490,13076,12682,12076,12396
P07023,40593,43054,36741,47466,51233,38246,47059,47321,42358,41086
P07024,56102,65059,56359,65157,72116,59901,68377,69255,64871,60942
P07026,1260.1,902.19,1152.9,1319.9,1075.1,1195.3,1191.1,1123.5,1152.4,1208.4
P07102,92384,99004,90087,111160,115980,94828,115880,109310,103240,100170
P07109,14878,13983,15364,17453,17577,15181,18635,17820,14672,15365
P07117,7341.2,6434.3,7283.8,7579.2,8093.9,7125.9,8689.1,7192.6,7662.3,6992.6
P07118,528660,495860,513170,573870,585270,521030,598630,579140,519150,545720
P07363,6383,7962.8,6670,6589.2,8581.4,7177.9,7766.2,8038.6,7887.9,6298.5
P07395,336140,328950,314960,368160,380190,312380,387970,384350,329660,324840
P07604,140060,140910,132770,167050,166090,143900,163730,167530,144690,149760
P07639,101090,108900,98592,118590,130590,99493,120390,119020,106330,102440
P07648,13664,13320,15656,15257,16885,13624,17464,16119,15660,13553
P07649,11451,12558,11192,12635,12808,12678,13348,15969,12195,12379
P07650,62524,73779,59192,74669,85578,59550,78826,77889,69367,62880
P07762,95828,92021,90512,107170,108200,92570,109740,107110,96180,100820
P07813,580050,559500,566380,639720,662050,563680,664190,642440,572750,589520
P07821,20353,22751,20143,22873,28108,20009,23712,24311,21464,19977
P07862,34776,48448,37138,43806,51160,41312,45460,45061,44027,37918
P07913,67679,67279,67151,77054,86781,64789,78017,77046,72007,72743
P08142,15361,15798,14041,16544,18954,15532,17284,17733,14984,14268
P08178,20980,22817,21246,23685,26964,22092,25088,25359,23814,20823
P08179,2380.5,2707.5,2641,3114.8,3941.2,2876.7,3151.8,3402.2,3108,2862.2
P08192,54661,56270,53554,61143,68655,57016,63556,65361,57046,57153
P08194,75294,70695,70374,81780,81971,71302,84462,80858,76103,83691
P08200,857770,1096200,762030,971430,1173600,792690,1067900,1048900,908210,802250
P08201,25508,29972,24048,32908,31258,22200,33684,30190,27520,26905
P08202,55119,52407,52794,58715,60488,53530,60332,61849,53648,54878
P08204,1230.6,1316.3,1117.8,1226.5,1679.4,985.67,1551.4,1584.1,1161.6,1245.6
P08244,46971,55144,42501,53118,63552,43726,56117,56135,50546,44183
P08245,53650,58074,58105,62357,64136,59303,68894,64712,61536,59178
P08312,98622,111480,100160,117050,129930,100880,115640,119570,109080,108710
P08331,129050,138590,121580,143290,160780,119480,152730,145800,136780,118150
P08337,1995.1,2171.9,1884.7,2553.6,2656.6,2695.5,2824.2,2506.6,2436.2,2367.2
P08368,23120,23069,24294,25747,26755,24067,26781,26342,25245,25809
P08373,28635,31882,27519,33961,39959,27408,35938,36182,31771,29407
P08390,38424,51224,36834,49071,59522,43126,52751,51154,46508,40446
P08394,28716,27269,27764,31340,34717,28825,35432,32142,30958,29006
P08395,8945.3,8472.7,8291.8,10205,9638.8,8901.2,10598,9844.6,9400.4,9784.5
P08506,57867,51822,58821,62321,66920,59815,69088,65245,59988,59640
P08622,184960,181280,187600,195970,209010,183950,211900,206410,188320,201030
P08660,4527.2,5820.2,4627,5522.3,6365.1,4804.5,5893.6,5711.8,5857.3,4665.8
P08839,575120,728410,605880,659580,800510,627070,754600,737860,693860,644870
P08997,494840,472260,477370,548450,590180,486790,594010,574540,507800,528360
P09029,6832.5,8385.4,7020.7,8405.8,10430,7512.4,8761.1,9369.2,8306.7,7898.2
P09030,57281,65441,54002,66600,77219,55512,67571,69922,61981,56194
P09053,37525,37652,37524,46785,44197,39011,45472,43436,38186,38854
P09099,3616.1,4479,3398,4961.3,4781.4,3566.9,4200.8,4840.7,5123.6,4252.5
P09126,16345,17196,14994,18356,20384,15513,18029,19159,17614,17149
P09127,129700,129790,126580,138510,147690,125480,150770,143670,133680,127320
P09147,243620,277640,215930,284900,335640,229150,292700,297970,255630,244770
P09148,152490,162340,159750,175090,184150,158010,166640,174580,158240,162960
P09151,12720,14251,11682,14263,16150,11249,14471,14753,13259,11586
P09152,222330,213490,222020,245750,254670,227210,254250,245810,227900,239370
P09155,11531,13087,11199,13508,14302,12405,14006,14086,12200,13135
P09158,11289,11731,12497,12415,15407,11532,13243,14185,13001,10786
P09169,20227,21836,20064,22406,25693,20009,25486,26157,23414,19607
P09323,82714,80199,78481,92285,93199,83850,94926,92382,85850,89473
P09372,168510,238960,180750,217010,266650,198430,226580,224290,222800,196520
P09373,1012700,995600,985370,1127500,1205700,990810,1184900,1149900,1026900,1102600
P09394,88432,129450,93704,112220,140500,100140,116140,114490,113670,92589
P09424,120260,131470,121380,140280,150660,122270,140310,142170,127820,127350
P09546,289960,275860,281550,310630,326830,288150,332270,322400,286530,293130
P09549,12431,12896,11560,14805,14766,13954,15283,14596,13960,14719
P09551,85534,127310,89506,101390,133320,95087,112410,113380,108010,87270
P09831,100210,93902,96941,109100,107590,96307,111410,106970,100170,106370
P09832,37399,38795,34219,44220,46957,36111,45052,44988,39069,38757
P09980,40039,40432,39732,49512,47058,41935,48294,45087,43906,45992
P0A698,131950,123470,128860,141640,146220,127600,148900,146220,130900,142750
P0A6A0,4518.8,5579.1,5380.3,5955.3,5640.2,5196.1,6355.7,6069.9,5416.7,5950.7
P0A6A3,133920,147120,137430,156690,173670,109240,151960,156420,140760,134350
P0A6A6,6471.8,6821.8,5901.9,7427.8,8060.5,7197,7618.5,7835.4,6869.6,7276.5
P0A6A8,45217,60941,53582,66078,68709,58860,62106,61930,61345,57740
P0A6B4,36534,32840,35249,40807,39909,35786,41983,40374,35690,36742
P0A6B7,324520,296800,306470,352770,365290,302290,377770,362890,312640,325750
P0A6C1,13228,17038,13824,16645,19213,13438,15176,16653,15585,14088
P0A6C8,1188.3,1251.5,1059.1,1220.5,1670.7,1113.9,1247.2,1492.3,1446.3,1125.4
P0A6D0,32115,40263,38178,39412,44158,38663,42079,42982,38979,38045
P0A6D3,75223,87984,73954,90412,103400,76386,96218,95268,85739,73924
P0A6D7,25651,28413,26968,30454,33459,28625,32909,31049,29719,29250
P0A6E4,71357,88857,69672,83657,103590,69645,89295,89474,83106,70443
P0A6E6,5029.3,6533.9,5158.8,5720.8,6500.9,5677.1,5700.3,6018.9,5768.7,4661.8
P0A6E9,24855,28469,24121,28819,29242,25700,29083,28373,26035,26891
P0A6F1,2619.5,2286.2,2607.9,2835.4,3362.9,2694.4,2954.5,2947.4,2741.8,2627.4
P0A6F3,1710300,1805600,1585000,2076700,2125300,1757200,1917800,2071000,1799900,1817500
P0A6F5,1037500,1221100,1120300,1266000,1420000,1186300,1344800,1311200,1251500,1137300
P0A6F9,88197,122090,95452,112940,126730,103600,116400,116170,106030,106050
P0A6G3,22686,27583,22458,25609,27048,24940,30642,28109,28229,25021
P0A6G7,32544,40420,34991,41504,46425,34567,43694,42590,39813,39456
P0A6H1,81716,91506,77778,92906,106400,80264,96917,98713,87453,80292
P0A6H5,299160,317320,304290,334020,362410,296830,352410,349200,317650,310780
P0A6I0,27606,35424,29739,34513,40512,31554,36209,36192,32703,32007
P0A6I3,62426,59315,58988,68151,70478,59941,72597,71281,61308,61000
P0A6I6,2775.1,2864.7,2591.1,3186.9,3538.1,2948.7,4106.7,3560.3,3460.9,2915.2
P0A6I9,8751.1,12214,9097.6,11119,13950,11371,11902,12081,10802,9646.2
P0A6J3,5549,4524,4559.7,5703.1,5167.1,4768.7,5310.3,5538.3,5065,5084
P0A6J5,133500,128800,131500,146770,155960,131180,153840,150220,137310,143730
P0A6J8,83378,118310,85920,103960,136870,88698,114150,109520,106740,86070
P0A6K1,35130,37224,33363,42643,46883,36891,42022,41718,37363,34482
P0A6K3,44913,54609,47846,54261,67392,51791,61112,60626,55158,48005
P0A6K6,135730,186360,141480,160080,207360,142820,176210,176890,167930,142970
P0A6L0,129550,153710,132190,148600,180970,124180,163340,159380,144750,124870
P0A6L2,133190,148780,127960,156720,175360,130370,166600,163110,144030,127050
P0A6L4,101840,115190,98901,120660,141940,97183,128250,124630,112820,103130
P0A6L7,5766,5041,5740.9,6257.9,7621.5,6146.2,7270.4,6094.5,6206.2,5838.2
P0A6L9,8355.9,10326,8276.9,10314,12025,9570.9,10371,9939.9,10094,8787.3
P0A6M2,4855.2,4944,4417.7,4899.6,4873.9,5918.5,6235,5586.1,5548.7,5172
P0A6M4,9267,10131,8669.5,10084,10854,9414.8,11437,10828,10314,7807.2
P0A6M8,1204600,1120200,1124700,1332600,1335200,1164200,1400800,1371400,1171300,1212400
P0A6N4,178960,200180,183870,198500,214670,186900,207930,209080,194060,195280
P0A6N8,50206,64017,53250,60958,68415,58765,63407,64965,59859,55861
P0A6P1,262000,353560,276390,313070,392310,296210,342060,339740,323380,270830
